,0,1
347,AZN,AstraZeneca PLC 
348,AZPN,"Aspen Technology, Inc. "
349,AZRX,"AzurRx BioPharma, Inc. "
350,AZYO,"Aziyo Biologics, Inc. "
351,BAND,Bandwidth Inc. 
352,BANF,BancFirst Corporation 
353,BANFP,BancFirst Corporation 
354,BANR,Banner Corporation 
355,BANX,StoneCastle Financial Corp 
356,BASI,"Bioanalytical Systems, Inc. "
357,BATRA,Liberty Media Corporation 
358,BATRK,Liberty Media Corporation 
359,BBBY,Bed Bath & Beyond Inc. 
360,BBCP,"Concrete Pumping Holdings, Inc.  "
361,BBGI,"Beasley Broadcast Group, Inc. "
362,BBH,VanEck Vectors Biotech ETF
363,BBIG,"Vinco Ventures, Inc. "
364,BBIO,"BridgeBio Pharma, Inc. "
365,BBQ,"BBQ Holdings, Inc.  "
366,BBSI,"Barrett Business Services, Inc. "
367,BCBP,"BCB Bancorp, Inc. (NJ) "
368,BCDA,"BioCardia, Inc. "
369,BCDAW,"BioCardia, Inc. "
370,BCEL,"Atreca, Inc. "
371,BCLI,Brainstorm Cell Therapeutics Inc. 
372,BCML,BayCom Corp 
373,BCOR,"Blucora, Inc. "
374,BCOV,Brightcove Inc. 
375,BCOW,"1895 Bancorp of Wisconsin, Inc. "
376,BCPC,Balchem Corporation 
377,BCRX,"BioCryst Pharmaceuticals, Inc. "
378,BCTG,BCTG Acquisition Corp. 
379,BCYC,Bicycle Therapeutics plc 
380,BDGE,"Bridge Bancorp, Inc. "
381,BDSI,"BioDelivery Sciences International, Inc. "
382,BDSX,"Biodesix, Inc. "
383,BDTX,"Black Diamond Therapeutics, Inc. "
384,BEAM,Beam Therapeutics Inc. 
385,BEAT,"BioTelemetry, Inc. "
386,BECN,"Beacon Roofing Supply, Inc. "
387,BEEM,Beam Global 
388,BEEMW,Beam Global 
389,BELFA,Bel Fuse Inc. 
390,BELFB,Bel Fuse Inc. 
391,BFC,Bank First Corporation 
392,BFIN,BankFinancial Corporation 
393,BFIT,Global X Health & Wellness Thematic ETF
394,BFST,"Business First Bancshares, Inc. "
395,BGCP,"BGC Partners, Inc. "
396,BGFV,Big 5 Sporting Goods Corporation 
397,BGNE,"BeiGene, Ltd. "
398,BGRN,iShares Global Green Bond ETF
399,BHF,"Brighthouse Financial, Inc. "
400,BHFAL,"Brighthouse Financial, Inc. "
401,BHFAN,"Brighthouse Financial, Inc. "
402,BHFAO,"Brighthouse Financial, Inc. "
403,BHFAP,"Brighthouse Financial, Inc. "
404,BHSEU,Bull Horn Holdings Corp. 
405,BHTG,"BioHiTech Global, Inc. "
406,BIB,ProShares Ultra Nasdaq Biotechnology
407,BIGC,"BigCommerce Holdings, Inc. "
408,BIIB,Biogen Inc. 
409,BILI,Bilibili Inc. 
410,BIMI,BOQI International Medical Inc. 
411,BIOC,"Biocept, Inc. "
412,BIOL,"Biolase, Inc. "
